"","Group.1","Group.2","x","year"
"288","Alcohol away from home","E06000012",2.917683071,2010
"289","Bread","E06000012",1.86296004,2010
"290","Butter","E06000012",0.164815995,2010
"291","Cakes puddings and pastry","E06000012",0.892592451,2010
"292","Coffee","E06000012",0.266283216,2010
"293","Eating out","E06000012",7.884717157,2010
"294","Eggs","E06000012",0.275164738,2010
"295","Fish","E06000012",0.966474441,2010
"296","Fruit","E06000012",1.679902176,2010
"297","Milk products","E06000012",2.677683954,2010
"298","Non alcoholic drinks","E06000012",1.286106744,2010
"299","Oils and fats","E06000012",0.343573424,2010
"300","Other","E06000012",1.196875636,2010
"301","Pasta","E06000012",0.172677205,2010
"302","Poultry","E06000012",0.818334532,2010
"303","Processed and Other Meat","E06000012",0.006066623,2010
"304","Processed Meat","E06000012",2.831168669,2010
"305","Red Meat","E06000012",1.276528813,2010
"306","Rice","E06000012",0.124358526,2010
"307","Sauces and spices","E06000012",0.079543953,2010
"308","Sugar confectionary and jam","E06000012",1.495774199,2010
"309","Takeaway","E06000012",1.617103067,2010
"310","Tea","E06000012",0.20513766,2010
"311","Tobacco","E06000012",1.991910323,2010
"312","Vegtables","E06000012",3.068676586,2010
"313","Alcohol at home","E06000013",3.280913537,2010
"314","Alcohol away from home","E06000013",3.02857595,2010
"315","Bread","E06000013",1.89311973,2010
"316","Butter","E06000013",0.168626443,2010
"317","Cakes puddings and pastry","E06000013",0.905481616,2010
"318","Coffee","E06000013",0.273313215,2010
"319","Eating out","E06000013",8.242038079,2010
"320","Eggs","E06000013",0.281950312,2010
"321","Fish","E06000013",1.005743804,2010
"322","Fruit","E06000013",1.748318331,2010
"323","Milk products","E06000013",2.731939703,2010
"324","Non alcoholic drinks","E06000013",1.305097044,2010
"325","Oils and fats","E06000013",0.348935359,2010
"326","Other","E06000013",1.221758861,2010
"327","Pasta","E06000013",0.175535717,2010
"328","Poultry","E06000013",0.833219648,2010
"329","Processed and Other Meat","E06000013",0.006773117,2010
"330","Processed Meat","E06000013",2.85855624,2010
"331","Red Meat","E06000013",1.313833681,2010
"332","Rice","E06000013",0.129408915,2010
"333","Sauces and spices","E06000013",0.083720789,2010
"334","Sugar confectionary and jam","E06000013",1.520584762,2010
